elapsed_s,timestamp,raw,mv,phase,cycle_index
3.758,21:51:21.130,1148.0,988.0,exhale,1
3.781,21:51:21.152,1150.0,984.0,exhale,1
3.803,21:51:21.175,1143.0,983.0,exhale,1
3.825,21:51:21.197,1144.0,987.0,exhale,1
3.846,21:51:21.218,1153.0,981.0,exhale,1
3.868,21:51:21.240,1145.0,980.0,exhale,1
3.891,21:51:21.263,1146.0,982.0,exhale,1
3.913,21:51:21.285,1145.0,981.0,exhale,1
3.934,21:51:21.306,1145.0,982.0,exhale,1
3.956,21:51:21.328,1142.0,980.0,exhale,1
3.979,21:51:21.351,1149.0,984.0,exhale,1
4.000,21:51:21.372,1147.0,983.0,inhale,2
4.023,21:51:21.395,1152.0,978.0,inhale,2
4.045,21:51:21.417,1149.0,986.0,inhale,2
4.066,21:51:21.438,1155.0,987.0,inhale,2
4.090,21:51:21.462,1155.0,990.0,inhale,2
4.110,21:51:21.482,1155.0,994.0,inhale,2
4.132,21:51:21.504,1159.0,983.0,inhale,2
4.155,21:51:21.527,1153.0,993.0,inhale,2
4.177,21:51:21.549,1160.0,985.0,inhale,2
4.199,21:51:21.571,1163.0,992.0,inhale,2
4.220,21:51:21.592,1160.0,994.0,inhale,2
4.242,21:51:21.614,1162.0,992.0,inhale,2
4.264,21:51:21.636,1163.0,988.0,inhale,2
4.286,21:51:21.658,1173.0,994.0,inhale,2
4.308,21:51:21.680,1159.0,994.0,inhale,2
4.330,21:51:21.702,1173.0,995.0,inhale,2
4.352,21:51:21.724,1161.0,995.0,inhale,2
4.374,21:51:21.746,1160.0,996.0,inhale,2
4.396,21:51:21.768,1160.0,997.0,inhale,2
4.418,21:51:21.790,1158.0,997.0,inhale,2
4.440,21:51:21.812,1157.0,995.0,inhale,2
4.463,21:51:21.834,1158.0,994.0,inhale,2
4.484,21:51:21.856,1159.0,995.0,inhale,2
4.506,21:51:21.878,1160.0,994.0,inhale,2
4.529,21:51:21.901,1159.0,995.0,inhale,2
4.550,21:51:21.922,1160.0,999.0,inhale,2
4.573,21:51:21.945,1160.0,996.0,inhale,2
4.595,21:51:21.967,1158.0,995.0,inhale,2
4.616,21:51:21.988,1168.0,993.0,inhale,2
4.639,21:51:22.011,1157.0,994.0,inhale,2
4.661,21:51:22.033,1164.0,994.0,inhale,2
4.682,21:51:22.054,1161.0,993.0,inhale,2
4.705,21:51:22.077,1161.0,994.0,inhale,2
4.726,21:51:22.098,1163.0,995.0,inhale,2
4.748,21:51:22.120,1156.0,994.0,inhale,2
4.770,21:51:22.142,1158.0,993.0,inhale,2
4.792,21:51:22.164,1160.0,995.0,inhale,2
4.814,21:51:22.186,1157.0,994.0,inhale,2
4.836,21:51:22.208,1159.0,992.0,inhale,2
4.858,21:51:22.230,1163.0,993.0,inhale,2
4.880,21:51:22.252,1154.0,992.0,inhale,2
4.902,21:51:22.274,1158.0,988.0,inhale,2
4.925,21:51:22.297,1171.0,991.0,inhale,2
4.947,21:51:22.319,1163.0,992.0,inhale,2
4.968,21:51:22.340,1154.0,991.0,inhale,2
4.992,21:51:22.364,1161.0,993.0,inhale,2
5.013,21:51:22.385,1159.0,990.0,inhale,2
5.034,21:51:22.406,1157.0,991.0,inhale,2
5.057,21:51:22.429,1153.0,988.0,inhale,2
5.078,21:51:22.450,1159.0,998.0,inhale,2
5.100,21:51:22.472,1159.0,995.0,inhale,2
5.124,21:51:22.495,1158.0,992.0,inhale,2
5.145,21:51:22.517,1162.0,993.0,inhale,2
5.166,21:51:22.538,1160.0,993.0,inhale,2
5.191,21:51:22.563,1151.0,995.0,inhale,2
5.211,21:51:22.582,1160.0,993.0,inhale,2
5.232,21:51:22.604,1161.0,998.0,inhale,2
5.255,21:51:22.627,1167.0,1000.0,inhale,2
5.276,21:51:22.648,1165.0,996.0,inhale,2
5.298,21:51:22.670,1158.0,997.0,inhale,2
5.321,21:51:22.693,1163.0,999.0,inhale,2
5.343,21:51:22.715,1164.0,999.0,inhale,2
5.364,21:51:22.736,1162.0,996.0,inhale,2
5.387,21:51:22.759,1160.0,996.0,inhale,2
5.408,21:51:22.780,1159.0,992.0,inhale,2
5.430,21:51:22.802,1159.0,991.0,inhale,2
5.452,21:51:22.824,1163.0,990.0,inhale,2
5.475,21:51:22.847,1160.0,992.0,inhale,2
5.497,21:51:22.869,1158.0,991.0,inhale,2
5.518,21:51:22.890,1157.0,993.0,exhale,2
5.540,21:51:22.912,1156.0,992.0,exhale,2
5.562,21:51:22.934,1156.0,991.0,exhale,2
5.584,21:51:22.956,1158.0,992.0,exhale,2
5.606,21:51:22.978,1150.0,990.0,exhale,2
5.628,21:51:23.000,1160.0,991.0,exhale,2
5.650,21:51:23.022,1170.0,990.0,exhale,2
5.672,21:51:23.044,1159.0,993.0,exhale,2
5.694,21:51:23.066,1161.0,995.0,exhale,2
5.716,21:51:23.088,1157.0,996.0,exhale,2
5.738,21:51:23.110,1162.0,996.0,exhale,2
5.761,21:51:23.132,1167.0,994.0,exhale,2
5.782,21:51:23.154,1161.0,995.0,exhale,2
5.804,21:51:23.176,1165.0,994.0,exhale,2
